rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/success_rate,train/learning_rate,train/loss,train/n_updates
119.35,0.05,696774,5380,-646.1547910500001,2241,310,0.03,0.0001,0.010607481002807617,161693
119.46,0.05,697266,5384,-646.2781429400001,2242,310,0.03,0.0001,0.016397207975387573,161816
119.93,0.05,697707,5388,-646.8206926900001,2244,310,0.03,0.0001,27.97425079345703,161926
119.85,0.05,698180,5392,-646.77730229,2246,310,0.03,0.0001,0.009656177833676338,162044
120.27,0.05,698648,5396,-647.28683717,2247,310,0.03,0.0001,0.042479533702135086,162161
120.11,0.05,699110,5400,-647.17063708,2249,310,0.03,0.0001,0.008784920908510685,162277
120.16,0.05,699618,5404,-647.06231161,2251,310,0.03,0.0001,0.017222287133336067,162404
120.22,0.05,700083,5408,-647.0336126000001,2252,310,0.03,0.0001,0.016527855768799782,162520
120.41,0.05,700532,5412,-647.1945414500001,2254,310,0.03,0.0001,0.05879956856369972,162632
120.44,0.05,701055,5416,-647.30970045,2256,310,0.03,0.0001,14.54422664642334,162763
120.85,0.05,701528,5420,-647.747484,2257,310,0.03,0.0001,14.209303855895996,162881
121.03,0.05,702012,5424,-647.9736979900001,2259,310,0.03,0.0001,0.02545984275639057,163002
120.5,0.05,702476,5428,-652.4255221000001,2261,310,0.02,0.0001,0.006494240369647741,163118
120.64,0.05,702996,5432,-657.59916175,2262,310,0.01,0.0001,0.008960786275565624,163248
119.99,0.05,703422,5436,-657.1628264599999,2264,310,0.01,0.0001,0.011886971071362495,163355
120.14,0.05,703901,5440,-657.369502,2265,310,0.01,0.0001,0.007221476640552282,163475
120.29,0.05,704357,5444,-657.45645592,2267,310,0.01,0.0001,15.627490043640137,163589
119.62,0.05,704759,5448,-656.84131956,2269,310,0.01,0.0001,0.018913663923740387,163689
118.53,0.05,705140,5452,-655.94709306,2270,310,0.01,0.0001,0.05262942612171173,163784
118.85,0.05,705635,5456,-656.04871992,2272,310,0.01,0.0001,14.971725463867188,163908
118.57,0.05,706068,5460,-655.74090918,2273,310,0.01,0.0001,0.007051095366477966,164016
118.39,0.05,706547,5464,-655.4723645200002,2275,310,0.01,0.0001,0.053577348589897156,164136
119.07,0.05,707032,5468,-656.2655125599999,2276,310,0.01,0.0001,14.572467803955078,164257
117.8,0.05,707475,5472,-655.1695642400001,2278,310,0.01,0.0001,2.186187505722046,164368
116.18,0.05,707892,5476,-658.8979935,2280,310,0.0,0.0001,0.010898992419242859,164472
115.13,0.05,708287,5480,-657.94906831,2281,310,0.0,0.0001,0.5100526809692383,164571
114.94,0.05,708760,5484,-657.89399966,2283,310,0.0,0.0001,14.420903205871582,164689
115.07,0.05,709214,5488,-657.9914235599999,2284,310,0.0,0.0001,0.008745374158024788,164803
115.11,0.05,709691,5492,-657.98114655,2286,310,0.0,0.0001,0.016723239794373512,164922
114.89,0.05,710137,5496,-657.5825912800001,2287,310,0.0,0.0001,0.008299184963107109,165034
114.87,0.05,710597,5500,-657.42823967,2289,310,0.0,0.0001,14.184615135192871,165149
114.25,0.05,711043,5504,-656.75928942,2291,310,0.0,0.0001,0.005444930866360664,165260
113.94,0.05,711477,5508,-656.5531101600001,2292,310,0.0,0.0001,14.638134956359863,165369
